1900 6 3
1901 8 1
1902 6 2
1903 8 0
1904 5 3
1905 5 4
1906 6 1
1907 6 0
1908 8 1
1909 7 0
1910 4 1
1911 6 0
1912 7 0
1913 7 0
1914 6 2
1915 7 1
1916 8 1
1917 6 1
1918 3 1
1919 9 0
1920 9 0
1921 10 1
1922 8 1
1923 9 1
1924 10 0
1925 7 2
1926 9 1
1927 7 1
1928 5 4
1929 9 0
1930 10 0
1931 6 2
1932 6 2
1933 3 5
1934 6 3
1935 7 1
1936 6 2
1937 6 2
1938 8 1
1939 7 2
1940 7 2
1941 8 0
1942 7 2
1943 9 1
1944 8 2
1945 7 2
1946 8 0
1947 9 0
1948 9 0
1949 10 0
1950 4 4
1951 7 2
1952 7 2
1953 9 0
1954 9 1
1955 8 2
1956 2 8
1957 7 3
1958 6 4
1959 5 5
1960 2 8
1961 5 5
1962 5 5
1963 2 7
1964 9 1
1965 7 2
1966 9 0
1967 8 2
1968 7 2
1969 8 2
1970 10 1
1971 8 2
1972 8 3
1973 11 0
1974 10 2
1975 8 3
1976 9 3
1977 11 1
1978 9 3
1979 7 4
1980 9 2
1981 5 6
1982 6 4
1983 7 5
1984 7 5
1985 5 6
1986 5 6
1987 8 4
1988 12 0
1989 12 1
1990 9 3
1991 10 3
1992 10 1
1993 11 1
1994 6 5
1995 9 3
1996 8 3
1997 7 6
1998 9 3
1999 5 7
2000 9 3
2001 5 6
2002 10 3
2003 5 7
2004 6 6
2005 9 3
2006 10 3
2007 3 9
2008 7 6
2009 6 6
2010 8 5
2011 8 5
2012 12 1
2013 9 4
2014 8 5
2015 10 3
